0;0
0.01536;-0.002807
0.03049;-0.005479
0.04539;-0.008018
0.06005;-0.01042
0.07449;-0.0127
0.08869;-0.01484
0.1027;-0.01686
0.1164;-0.01874
0.13;-0.0205
0.1433;-0.02213
0.1563;-0.02363
0.1692;-0.02501
0.1819;-0.02627
0.1943;-0.0274
0.2065;-0.02841
0.2185;-0.0293
0.2303;-0.03007
0.2418;-0.03072
0.2532;-0.03125
0.2643;-0.03167
0.2753;-0.03197
0.286;-0.03215
0.2965;-0.03222
0.3069;-0.03217
0.317;-0.03202
0.3269;-0.03175
0.3366;-0.03137
0.3461;-0.03088
0.3555;-0.03029
0.3646;-0.02958
0.3735;-0.02877
0.3822;-0.02785
0.3908;-0.02683
0.3991;-0.02571
0.4073;-0.02448
0.4153;-0.02315
0.4231;-0.02172
0.4307;-0.02019
0.4381;-0.01856
0.4453;-0.01683
0.4524;-0.01501
0.4592;-0.01309
0.4659;-0.01108
0.4724;-0.008967
0.4788;-0.006765
0.4849;-0.004471
0.4909;-0.002085
0.4967;0.0003904
0.5024;0.002955
0.5078;0.005608
0.5131;0.008349
0.5183;0.01118
0.5232;0.01409
0.5281;0.01708
0.5327;0.02016
0.5372;0.02333
0.5415;0.02657
0.5457;0.0299
0.5497;0.0333
0.5535;0.03678
0.5572;0.04034
0.5607;0.04398
0.5641;0.04769
0.5674;0.05148
0.5704;0.05534
0.5734;0.05928
0.5762;0.06329
0.5788;0.06736
0.5813;0.07151
0.5837;0.07573
0.5859;0.08001
0.588;0.08436
0.5899;0.08878
0.5917;0.09326
0.5933;0.09781
0.5949;0.1024
0.5963;0.1071
0.5975;0.1118
0.5986;0.1166
0.5996;0.1215
0.6005;0.1264
0.6012;0.1314
0.6019;0.1364
0.6023;0.1415
0.6027;0.1466
0.603;0.1518
0.6031;0.157
0.6031;0.1623
0.603;0.1677
0.6027;0.1731
0.6024;0.1785
0.6019;0.184
0.6014;0.1895
0.6007;0.1951
0.5999;0.2007
0.599;0.2064
0.598;0.2121
0.5969;0.2179
0.5956;0.2237
0.5943;0.2295
0.5929;0.2354
0.5914;0.2413
0.5897;0.2473
0.588;0.2533
0.5862;0.2593
0.5843;0.2653
0.5823;0.2714
0.5802;0.2776
0.578;0.2837
0.5757;0.2899
0.5733;0.2961
0.5709;0.3024
0.5683;0.3086
0.5657;0.3149
0.563;0.3213
0.5602;0.3276
0.5573;0.334
0.5544;0.3404
0.5513;0.3468
0.5482;0.3532
0.545;0.3597
0.5418;0.3662
0.5384;0.3726
0.535;0.3792
0.5316;0.3857
0.528;0.3922
0.5244;0.3988
0.5207;0.4053
0.517;0.4119
0.5132;0.4185
0.5093;0.4251
0.5054;0.4317
0.5014;0.4384
0.4974;0.445
0.4933;0.4516
0.4891;0.4583
0.4849;0.4649
0.4807;0.4715
0.4763;0.4782
0.472;0.4848
0.4676;0.4915
0.4631;0.4981
0.4586;0.5048
0.4541;0.5114
0.4495;0.5181
0.4448;0.5247
0.4402;0.5314
0.4354;0.538
0.4307;0.5446
0.4259;0.5512
0.4211;0.5578
0.4162;0.5644
0.4113;0.571
0.4064;0.5776
0.4014;0.5841
0.3965;0.5907
0.3914;0.5972
0.3864;0.6037
0.3814;0.6102
0.3763;0.6167
0.3712;0.6231
0.366;0.6296
0.3609;0.636
0.3557;0.6424
0.3505;0.6488
0.3453;0.6551
0.3401;0.6615
0.3349;0.6678
0.3297;0.674
0.3244;0.6803
0.3192;0.6865
0.3139;0.6927
0.3087;0.6989
0.3034;0.705
0.2981;0.7111
0.2928;0.7171
0.2875;0.7232
0.2823;0.7292
0.277;0.7351
0.2717;0.741
0.2665;0.7469
0.2612;0.7528
0.2559;0.7586
0.2507;0.7643
0.2455;0.7701
0.2402;0.7757
0.235;0.7814
0.2298;0.787
0.2246;0.7925
0.2195;0.798
0.2143;0.8034
0.2092;0.8088
0.2041;0.8142
0.199;0.8195
0.1939;0.8247
0.1889;0.8299
0.1839;0.8351
0.1789;0.8402
0.1739;0.8452
0.169;0.8502
0.1641;0.8551
0.1592;0.86
0.1544;0.8648
0.1496;0.8695
0.1449;0.8742
0.1401;0.8788
0.1354;0.8834
0.1308;0.8878
0.1262;0.8923
0.1217;0.8966
0.1171;0.9009
0.1127;0.9052
0.1083;0.9093
0.1039;0.9134
0.09956;0.9174
0.09529;0.9214
0.09108;0.9252
0.08691;0.929
0.0828;0.9328
0.07875;0.9364
0.07476;0.94
0.07082;0.9435
0.06695;0.9469
0.06314;0.9502
0.05939;0.9535
0.0557;0.9566
0.05209;0.9597
0.04853;0.9627
0.04505;0.9657
0.04164;0.9685
0.03829;0.9713
0.03502;0.9739
0.03183;0.9765
0.02871;0.979
0.02566;0.9814
0.0227;0.9837
0.01981;0.9859
0.017;0.988
0.01428;0.99
0.01163;0.992
0.009075;0.9938
0.006603;0.9956
0.004218;0.9972
0.001921;0.9987
-0.0002854;1
-0.002401;1.002
-0.004427;1.003
-0.006363;1.004
-0.00821;1.005
-0.009969;1.006
-0.01164;1.007
-0.01322;1.008
-0.01472;1.008
-0.01613;1.009
-0.01745;1.009
-0.01869;1.01
-0.01985;1.01
-0.02092;1.01
-0.02191;1.01
-0.02281;1.01
-0.02363;1.01
-0.02437;1.01
-0.02503;1.009
-0.02561;1.009
-0.02611;1.009
-0.02653;1.008
-0.02687;1.007
-0.02714;1.007
-0.02732;1.006
-0.02743;1.005
-0.02746;1.004
-0.02742;1.003
-0.0273;1.002
-0.02711;1
-0.02684;0.999
-0.0265;0.9976
-0.02609;0.996
-0.0256;0.9944
-0.02504;0.9927
-0.02441;0.9909
-0.02371;0.9891
-0.02294;0.9871
-0.0221;0.9851
-0.02119;0.983
-0.02021;0.9808
-0.01917;0.9785
-0.01806;0.9762
-0.01688;0.9738
-0.01563;0.9713
-0.01432;0.9687
-0.01295;0.966
-0.01151;0.9633
-0.01001;0.9604
-0.008441;0.9575
-0.006812;0.9546
-0.005121;0.9515
-0.003369;0.9484
-0.001555;0.9452
0.000318;0.9419
0.002251;0.9386
0.004243;0.9352
0.006294;0.9317
0.008403;0.9281
0.01057;0.9245
0.01279;0.9208
0.01507;0.917
0.01741;0.9131
0.0198;0.9092
0.02224;0.9052
0.02474;0.9012
0.02729;0.8971
0.02989;0.8929
0.03255;0.8886
0.03526;0.8843
0.03802;0.8799
0.04083;0.8754
0.04369;0.8709
0.0466;0.8663
0.04955;0.8617
0.05256;0.857
0.05561;0.8522
0.05871;0.8474
